address,business_certificate,business_id,business_name,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
419 O'Farrell St,465221,3800,MARRAKECH MORROCAN RESTAURANT,San Francisco,37.7859,-122.412,419 O'FARRELL ST,SAN FRANCISCO,BASHIR J SHAHIN,CA,94102,null,94102,H26
640 Sutter St,34425,3803,Metropolitan Club,San Francisco,37.7889,-122.411,640 Sutter St,San Francisco,Metropolitan Club,CA,94102,null,94102,H26
1686 MARKET St,377834,3926,"Espetus Churrascaria, Inc.",SF,37.7733,-122.422,1686 MARKET St,SF,"Espetus Churrascaria, Inc.",CA,94102,null,94102,H26
301 VAN NESS Ave,416429,3929,"OPERA HOUSE - BASEMENT,LOWER LOUNGE",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H26
"251 Geary St, Basement (Macy's)",161649,3936,Boudin Bakery,San Francisco,37.7874,-122.407,"251 Geary St, Basement (Macy's)",San Francisco,"Andre Boudin Bakeries, Inc.",CA,94102,null,94102,H26
685 Sutter St,351654,3989,The Beer Cellar,San Francisco,37.7888,-122.412,685 Sutter St,San Francisco,Keith L Goodman,CA,94102,null,94102,H86
"609 Sutter St, 2nd Floor",32200,3990,Marines Memorial Theatre,San Francisco,37.7889,-122.41,"609 Sutter St, 2nd Floor",San Francisco,Marines' Memorial Association,CA,94102,null,94102,H86
397 Ellis St,391548,4047,Cinnabar,San Francisco,37.7849,-122.413,397 Ellis St,San Francisco,"MDT Solutions, Inc   Teresa Sin",CA,94102,14155791711,94102,H86
561 Geary St,358273,4135,Swig,San Francisco,37.7868,-122.413,561 Geary St,San Francisco,Electrocelt Promotions Inc,CA,94102,null,94102,H86
600 Geary St,324448,4136,High Tide,San Francisco,37.7868,-122.413,600 Geary St,San Francisco,Tok Cha Vansant,CA,94102,null,94102,H86
1 TAYLOR,454711,4298,Golden Gate Theatre,SAN FRANCISCO,37.7824,-122.411,"1182 Market St, Suite 200",San Francisco,"COGG, LLC",CA,94102,null,94102,H86
401 ELLIS St,943756,4304,Jonell's,SF,37.7848,-122.413,401 ELLIS ST,SF,"Ellis Street Manor, Inc.",CA,94102,null,94102,H86
98 TURK,75434,4326,21 CLUB,SAN FRANCISCO,37.7833,-122.411,98 TURK STREET,SAN FRANCISCO,"21 TAYLOR, INC.",CA,94102,null,94102,H86
133 TURK St,164948,4327,AUNT CHARLES,SAN FRANCISCO,37.7831,-122.411,133 TURK STREET,SAN FRANCISCO,WILLIAM J. ERKELENS,CA,94102,null,94102,H86
